"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"39",88,2,32,20,4,1,33,39,26,2,2,1,28,0,71,66,6,1,0,2,0,0,0,2,31,6,1,3,37,5,50,63,40,0,3,0,2,0,6,2,2,0,0,0,4,0,1,0,17,2,6,6,1,0,1,0,53,2,2,3,51,4,40,30,4,0,2,1,0,0,3,2,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,6,11,0,5,1,0,0,5,1,6,1,0,0,6,0,4,2,26,1,3,2,0,1,2,5,27,3,2,2,31,5,27,32,19,21,3,46,3,2,1,47,4,2,0,1,0,1,2,29,0,5,0,5,0,0,0,1,3,5,0,5,0,2,1,44,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,2,2,3,0,2,1,2,0,14,15,23,4,22,0,1,5,26,0,3,1,0,5,1,2,28,1,1,0,4,0,0,0,5,2,3,0,1,6,7,5,29,49,35,2,15,5,5,2,22,1,0,0,0,9,1,0,14,26,35,2,20,4,3,2,18,9,21,0,9,27,37,5,102,0
"40",447,35,133,156,39,1,133,172,148,8,11,18,158,4,304,297,26,6,10,13,3,0,4,9,140,18,26,25,177,12,251,306,142,4,20,17,10,0,9,16,22,1,1,0,51,2,10,0,123,15,12,28,4,0,8,10,353,36,14,22,498,16,214,184,46,1,17,3,17,0,18,12,11,3,0,0,22,2,30,26,2,0,1,0,1,0,0,1,6,0,1,0,10,1,17,16,121,4,17,11,13,0,18,14,21,0,1,1,40,0,24,13,140,10,7,11,10,2,9,23,282,17,6,9,309,29,139,173,129,162,14,368,5,4,13,270,13,11,0,15,10,11,12,204,6,13,0,40,0,2,0,19,10,18,0,27,15,16,3,146,21,14,0,12,0,1,0,5,0,1,0,0,0,1,0,3,12,21,0,31,0,1,2,10,7,27,0,16,7,11,3,47,138,152,43,503,14,10,32,314,13,17,0,10,27,16,17,184,6,4,0,13,0,0,0,20,6,19,2,4,15,15,9,157,298,211,12,175,36,17,16,163,12,3,0,1,21,11,8,52,220,268,5,168,19,18,11,153,157,139,2,47,132,172,42,628,0
"41",123,6,46,35,10,0,45,49,46,1,4,5,36,4,90,83,8,3,3,4,0,0,2,1,42,7,3,6,44,3,56,84,39,2,7,2,1,0,4,1,6,0,0,0,10,0,3,4,40,2,2,6,0,1,1,6,102,13,3,8,58,6,50,43,13,0,1,0,1,0,5,3,6,0,0,0,2,0,8,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,47,1,1,3,7,0,3,2,5,0,0,0,9,1,7,3,46,3,3,5,1,0,6,2,80,10,4,3,87,6,63,41,29,39,4,104,4,0,3,77,3,2,0,3,6,3,3,52,5,8,0,10,0,0,0,2,3,8,1,6,2,6,2,45,3,3,0,2,1,0,0,1,1,0,0,0,0,1,0,0,4,12,0,6,0,0,0,2,2,9,0,1,2,2,1,18,48,41,5,73,4,2,12,78,8,4,0,3,6,4,4,51,0,1,1,5,0,0,0,4,5,5,0,4,3,7,3,44,94,61,2,36,14,2,2,41,1,1,0,0,5,1,1,12,95,72,2,54,5,4,3,58,55,41,0,16,51,41,14,162,1
"42",78,8,19,22,6,0,21,28,24,2,6,5,33,0,56,55,6,1,2,2,0,0,0,2,23,4,1,7,26,3,34,41,26,0,1,2,2,0,0,2,4,0,0,0,2,0,1,0,24,3,0,4,0,0,1,4,57,2,1,5,45,5,27,32,4,0,0,1,0,0,3,1,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,24,1,1,3,0,0,5,3,4,0,0,0,4,0,9,5,21,2,0,5,1,0,2,4,34,1,1,1,49,2,25,32,27,24,4,51,4,0,3,37,1,2,0,2,2,0,2,25,0,4,0,8,0,0,0,4,2,2,1,2,3,6,1,33,2,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,8,0,2,0,0,0,2,1,3,0,6,2,0,0,5,21,30,4,46,3,0,5,42,1,0,0,1,5,3,2,30,1,2,0,0,0,0,0,3,4,2,0,0,1,1,0,19,60,36,1,26,9,4,1,30,1,0,0,0,2,1,3,8,50,51,0,25,4,5,2,32,27,19,0,5,31,26,8,99,0
"43",145,18,60,40,10,1,36,50,58,2,3,8,41,2,100,75,9,2,6,7,0,0,5,0,58,6,3,12,63,3,83,88,56,3,5,6,6,0,4,8,9,0,0,0,3,0,3,1,52,2,4,8,2,1,3,3,102,7,3,4,70,2,56,48,10,0,4,2,0,0,6,4,2,0,1,0,9,0,9,7,2,0,0,1,0,0,0,1,0,0,1,0,3,0,5,4,47,3,2,2,5,0,7,8,2,1,0,0,8,0,4,6,52,3,2,8,4,0,4,1,98,2,3,8,104,5,60,53,46,52,3,88,3,2,7,72,5,5,0,3,3,4,2,48,6,5,0,11,0,0,0,4,3,3,0,10,4,9,2,39,8,11,0,3,0,1,2,2,1,0,0,0,1,1,0,0,9,18,0,5,1,0,0,6,4,4,0,3,1,5,0,7,44,54,12,63,4,4,7,79,7,1,0,3,10,2,6,41,5,8,0,6,0,0,0,3,3,4,1,5,7,3,8,46,117,89,3,51,12,6,10,62,2,3,0,0,10,4,3,13,110,117,2,50,12,7,8,59,74,59,1,19,49,64,21,213,0
"44",23,1,5,10,0,0,6,15,9,1,1,0,17,1,30,19,0,0,0,0,0,0,0,1,8,1,0,0,19,1,32,33,16,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,10,1,2,2,0,0,0,0,16,0,1,2,26,0,30,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,9,0,1,0,1,0,2,3,2,0,0,1,15,2,7,8,7,12,0,10,1,0,0,9,1,0,0,0,0,1,1,11,2,1,0,1,0,0,0,0,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,6,2,6,0,3,0,0,0,5,1,0,0,0,2,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,7,17,9,0,2,1,0,1,3,2,1,0,0,0,0,1,1,13,3,0,2,0,1,0,11,9,2,0,1,5,6,3,28,0
"45",107,7,33,35,3,0,24,38,48,3,6,7,34,0,73,45,4,1,2,4,0,0,0,4,29,5,4,3,48,1,85,65,28,1,2,4,2,0,2,5,5,0,0,0,2,0,3,1,36,1,2,5,1,0,4,5,71,9,3,2,52,2,44,47,5,0,2,1,3,0,1,2,2,2,0,1,7,0,6,2,2,0,0,0,0,0,0,0,2,0,0,0,4,1,1,4,33,2,2,3,4,0,7,3,4,3,0,0,3,1,7,4,52,2,2,7,1,0,1,6,58,6,1,4,66,4,43,53,38,44,2,83,1,0,3,55,3,2,0,4,3,3,4,34,3,5,0,3,0,0,0,5,2,6,0,7,3,4,2,29,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,7,0,7,0,0,0,4,5,6,0,3,4,0,0,6,38,30,2,63,8,1,8,66,6,4,0,1,9,5,7,38,1,0,0,5,1,0,0,3,1,2,1,2,5,3,1,27,66,60,0,53,11,5,9,33,4,2,0,1,5,0,1,11,49,65,1,39,5,6,6,44,43,34,0,9,35,43,16,149,0
"47",327,14,123,83,16,0,102,99,101,6,9,6,105,2,222,129,21,4,5,4,5,0,2,6,112,8,11,17,154,8,181,199,119,0,18,11,7,1,16,7,17,0,0,0,12,0,10,4,104,14,13,16,2,0,7,14,212,20,8,17,215,11,176,128,22,0,8,3,3,0,9,7,4,0,1,0,10,0,19,8,0,0,0,0,0,0,0,0,5,0,0,0,6,0,11,9,90,2,18,8,10,0,20,13,12,0,0,0,16,0,15,5,101,5,6,13,5,0,6,10,169,10,2,7,201,15,124,118,107,101,6,208,8,2,11,177,10,12,0,9,10,6,8,106,9,10,2,28,0,1,0,14,7,13,0,13,11,16,3,134,16,6,0,12,0,0,0,7,0,0,0,0,0,0,0,0,16,19,1,16,0,0,1,9,7,15,0,3,4,10,3,30,113,144,12,216,19,6,17,192,7,5,0,5,22,13,12,88,4,5,1,12,0,0,1,7,9,6,0,7,19,21,13,127,208,182,12,144,16,7,18,110,6,6,0,0,14,3,7,27,145,206,3,103,15,6,5,119,102,111,0,32,114,130,36,435,1
"48",66,1,20,26,4,0,20,27,29,3,1,3,22,2,54,62,1,0,1,1,0,0,0,1,25,2,3,3,27,0,36,38,26,3,0,0,0,0,2,1,1,0,0,0,5,0,1,1,22,5,5,2,0,0,1,4,63,4,2,3,46,3,27,34,8,1,1,1,0,0,3,3,2,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,6,25,0,1,2,2,0,3,3,5,0,0,1,4,0,3,3,28,0,1,1,2,0,3,2,58,3,0,1,67,5,29,40,27,25,5,46,3,0,3,63,4,2,0,2,3,3,1,30,0,1,1,2,0,0,0,6,4,6,0,5,2,0,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,2,0,3,0,1,1,9,22,23,1,43,6,0,7,42,1,3,0,0,2,0,3,33,1,1,0,3,0,0,0,3,3,2,0,0,0,2,1,18,54,32,0,27,2,0,3,25,2,0,0,0,6,1,2,5,38,56,1,34,3,1,1,30,42,25,0,4,17,20,6,89,1
"49",159,15,46,53,10,1,38,52,50,2,7,7,44,1,110,96,11,3,3,4,0,0,0,9,49,6,8,10,57,5,111,105,60,3,6,5,3,1,3,3,5,0,0,0,6,0,4,3,52,7,10,7,4,0,1,6,107,8,6,4,82,7,73,41,5,0,2,2,2,0,3,1,2,0,0,2,4,0,13,3,0,0,0,0,1,0,0,0,0,0,1,1,7,0,12,7,61,0,2,4,4,0,10,7,5,0,0,0,2,0,4,4,53,6,4,5,3,0,4,3,61,7,3,6,84,7,45,72,43,48,3,110,0,0,8,73,2,4,1,3,8,3,1,55,0,5,0,5,1,0,0,6,3,10,0,9,4,6,3,58,5,4,0,3,0,0,1,3,0,2,0,0,0,0,0,0,5,12,0,8,0,0,0,5,3,5,0,6,2,5,1,14,47,61,4,60,6,0,9,89,6,6,0,0,8,3,12,58,1,0,0,7,0,0,0,4,9,4,0,3,7,10,2,58,124,138,3,58,9,4,11,51,1,2,0,0,9,7,5,19,86,94,2,46,8,3,1,56,58,54,0,8,55,65,19,207,1
"52",85,6,43,25,3,0,23,27,17,0,0,3,22,3,32,41,5,0,2,1,1,0,1,1,15,3,4,2,15,1,16,12,65,4,14,3,2,0,5,4,5,0,1,0,3,0,3,4,14,2,4,2,1,1,2,4,51,0,1,2,19,4,12,13,8,0,3,0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,5,21,0,4,1,0,0,2,5,0,0,0,0,3,1,1,2,42,2,3,1,0,1,3,4,52,2,2,3,24,2,8,24,16,16,2,45,1,1,0,40,5,3,0,2,3,4,2,24,0,2,0,0,0,0,0,3,4,3,0,2,3,0,1,21,1,2,0,3,0,0,1,3,0,1,0,0,0,0,0,3,3,1,1,1,0,0,0,3,2,0,0,1,0,5,0,8,19,20,2,17,2,0,2,24,2,2,0,1,2,4,0,22,3,1,0,3,0,0,0,6,6,4,1,4,5,13,7,61,38,32,0,16,1,2,2,23,2,0,0,0,1,4,0,2,32,33,0,12,1,3,2,29,37,15,1,4,24,41,4,112,0
"54",220,0,4,6,3,1,7,8,258,1,3,0,36,1,13,7,0,0,0,0,0,0,0,3,36,1,0,1,12,0,2,10,7,0,0,3,0,0,2,4,6,0,0,0,1,0,1,1,7,0,1,3,0,0,4,7,12,0,1,0,3,0,9,46,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,3,4,1,0,10,1,0,3,21,0,0,0,0,0,0,1,4,11,2,4,16,7,0,21,105,2,2,1,0,9,2,38,241,234,38,5,16,0,0,2,8,90,17,0,5,17,10,3,10,2,1,0,0,0,0,1,2,31,5,0,2,3,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,35,14,0,5,0,0,0,9,19,7,0,2,5,2,2,4,0,0,0,1,0,0,0,4,7,3,0,0,4,2,1,7,17,4,0,9,0,0,1,37,2,0,0,1,0,0,0,1,6,11,2,41,1,1,0,222,13,3,0,2,4,7,3,262,0
"57",3077,188,878,857,173,2,1007,1097,1559,65,120,112,1096,22,2421,2010,240,59,54,97,8,0,18,67,1060,99,158,164,1286,60,2463,2334,943,58,129,93,57,0,115,75,104,2,0,2,99,1,81,49,962,113,95,164,20,4,69,114,2191,191,70,141,2005,92,1538,1236,173,2,41,25,24,0,102,67,57,1,4,3,114,0,166,129,4,0,2,1,1,0,3,0,19,2,3,5,51,2,109,110,941,14,101,85,115,0,139,108,100,1,0,2,190,5,121,63,1132,68,103,113,69,6,127,361,1957,119,25,48,2194,109,1226,1683,2014,1012,94,2140,56,25,97,1891,316,114,1,80,131,69,81,1351,50,125,2,168,1,1,1,108,126,146,1,121,82,86,38,1099,129,116,2,77,1,3,1,25,5,3,0,0,2,1,0,5,131,182,1,131,5,1,1,56,96,126,1,62,40,56,5,263,1142,1203,93,1806,101,49,171,2026,150,80,3,33,144,81,121,1056,32,50,3,92,1,1,0,93,74,87,4,46,74,101,66,1122,2362,2141,71,1391,175,121,128,1171,82,41,1,6,138,66,54,305,1980,2305,26,1261,106,129,65,1994,1370,1142,7,262,1060,1095,284,4314,0
"58",573,35,237,164,37,1,166,201,192,10,18,20,191,2,360,327,38,6,23,15,0,0,6,13,172,21,29,39,190,17,827,327,225,19,38,26,9,1,13,24,25,2,0,0,25,1,8,10,153,19,24,29,6,0,17,19,376,33,9,21,335,23,233,220,38,3,6,5,6,0,23,14,11,0,1,0,33,0,39,20,2,0,2,0,0,0,1,3,7,0,0,0,14,2,23,18,179,3,24,12,18,0,25,12,27,2,0,0,31,0,31,10,187,14,14,14,7,0,19,19,308,25,11,16,392,22,215,223,210,214,25,372,11,5,14,310,21,20,1,14,18,16,15,232,16,13,1,31,0,0,0,11,15,36,1,33,18,27,9,191,16,30,1,13,0,2,0,7,3,1,0,0,1,2,0,2,28,30,0,17,0,0,0,18,16,25,0,8,7,15,3,65,193,208,21,328,21,9,42,374,20,21,1,8,33,11,21,181,5,14,2,20,0,0,1,27,13,14,0,17,18,22,12,214,389,948,15,277,38,20,23,214,24,11,1,3,33,15,8,43,343,415,4,205,17,21,13,261,240,202,8,63,196,275,63,796,0
"59",302,35,85,65,20,2,63,89,79,4,25,10,69,4,272,150,45,13,13,19,0,1,6,8,99,12,23,23,90,11,614,270,80,13,12,9,6,0,8,9,16,1,0,2,8,2,9,5,72,15,13,18,4,0,4,9,173,12,9,12,153,6,114,96,20,3,5,1,3,0,12,3,1,0,1,1,10,0,27,11,0,1,0,0,0,0,0,0,3,1,1,0,8,2,18,21,104,5,7,5,15,0,12,6,10,0,0,0,14,0,13,10,87,8,10,9,12,1,10,10,153,12,3,9,176,10,109,96,95,89,10,154,3,4,10,124,9,4,1,5,16,11,12,104,6,16,0,11,1,0,1,9,7,10,0,10,3,9,6,97,24,35,1,9,0,0,0,3,1,0,0,0,0,1,3,1,7,28,0,6,0,0,0,9,8,11,0,4,5,6,2,30,94,92,12,146,14,5,9,158,13,8,0,3,12,8,15,103,2,5,2,17,2,0,0,11,5,2,1,6,10,10,6,82,265,661,12,105,11,26,18,108,7,3,1,3,18,8,9,47,141,286,2,90,14,15,5,97,112,98,1,52,107,112,44,374,0
"60",507,35,213,148,28,1,144,148,170,11,25,16,147,6,309,243,42,3,22,9,0,0,2,10,165,13,29,21,250,7,1014,340,189,20,35,13,10,1,21,12,13,1,0,0,19,2,10,3,124,23,26,18,5,0,16,15,302,35,17,26,291,15,273,155,33,1,11,5,10,0,18,7,9,0,0,0,14,0,34,12,3,0,1,1,0,0,0,0,4,0,2,1,11,0,14,15,143,6,19,15,15,0,30,14,14,1,0,0,30,0,18,14,155,14,12,16,8,2,18,19,260,14,3,17,312,16,185,175,176,144,17,276,9,5,15,229,21,13,0,14,17,13,18,184,8,12,1,37,0,0,1,17,10,21,3,20,18,14,8,183,21,25,2,18,0,1,0,8,2,0,0,0,2,2,0,0,14,27,1,16,1,0,0,15,16,25,0,10,5,14,0,51,159,235,18,289,21,9,27,302,15,21,2,9,28,7,18,183,3,15,0,17,1,2,2,17,18,18,0,7,17,22,9,194,338,910,18,241,32,24,24,193,13,8,0,1,17,22,8,50,322,378,5,191,25,15,14,210,219,155,1,46,171,184,42,700,0
"61",1760,132,521,536,94,0,551,669,746,35,64,76,635,10,1356,1176,99,18,40,77,1,0,16,38,581,62,61,105,725,38,1237,1297,541,38,66,49,29,1,66,44,62,0,1,0,68,2,51,22,501,63,51,83,21,4,42,75,1300,108,42,88,1072,43,771,764,108,3,29,15,13,0,55,31,35,3,2,3,74,4,106,78,2,0,1,0,0,0,0,4,17,1,1,2,33,3,58,63,544,10,53,55,56,2,92,55,74,4,2,2,84,1,80,45,665,38,53,65,31,5,60,103,1237,74,21,38,1262,78,686,808,704,597,71,1322,41,21,58,1083,100,78,2,60,62,49,51,796,35,68,0,103,2,0,3,74,57,87,0,68,55,68,31,589,62,68,3,42,6,5,2,28,1,0,0,0,1,1,1,9,68,111,0,74,2,2,0,49,49,69,1,41,22,39,8,172,630,764,48,1109,62,30,103,1205,66,44,2,27,108,62,72,660,12,36,1,53,2,1,2,74,33,42,1,36,59,74,31,589,1442,1251,34,910,104,54,76,726,54,18,0,5,70,42,26,173,1173,1320,17,720,78,55,40,768,821,677,4,182,619,646,185,2486,0
"62",739,49,244,235,39,2,232,274,276,20,30,37,278,8,700,1037,60,14,14,27,2,0,7,15,275,37,29,53,295,18,568,683,223,11,17,20,13,1,27,15,22,2,0,0,25,1,18,4,288,26,23,41,9,1,15,22,594,66,29,29,538,27,372,311,55,2,5,6,11,1,23,11,19,0,1,2,24,0,41,32,1,0,0,0,0,0,0,0,5,0,0,2,12,1,32,20,258,6,27,16,22,1,49,24,40,1,1,1,48,1,36,23,272,13,9,19,23,0,27,24,454,36,9,17,607,33,310,315,260,245,20,551,13,5,22,485,26,35,1,18,21,13,17,331,19,35,1,47,0,0,3,26,28,33,1,40,25,22,13,295,27,21,1,12,0,1,0,5,0,2,0,0,2,1,0,1,38,55,2,34,1,1,1,22,20,43,1,11,6,13,2,83,265,265,20,420,36,8,48,545,18,11,2,8,45,15,34,284,6,13,1,33,0,0,0,35,22,22,0,16,17,17,21,246,647,441,20,317,57,28,33,305,19,9,0,2,36,16,13,73,1107,600,5,278,42,30,22,283,333,281,1,90,315,261,83,974,0
"64",343,19,144,116,18,0,83,68,126,2,12,6,99,2,179,146,29,4,15,9,1,0,2,7,96,11,20,18,98,7,463,189,146,19,18,11,5,1,8,8,8,0,1,0,9,0,13,2,114,11,16,18,2,0,10,5,206,17,10,18,133,8,112,106,21,1,9,4,3,0,6,6,7,0,0,2,12,0,24,14,0,0,0,0,0,0,0,0,4,0,2,0,11,0,19,11,94,1,17,7,11,0,15,6,6,0,0,1,21,1,16,2,104,6,1,22,8,1,13,10,142,16,5,10,211,23,116,119,105,102,10,145,4,3,11,121,15,5,0,9,13,10,3,109,10,16,0,10,1,0,0,11,14,10,0,13,10,11,4,93,8,25,1,7,0,0,0,5,0,0,0,0,0,1,0,2,17,17,0,18,0,1,0,3,5,3,0,8,3,5,1,23,100,131,13,167,10,10,14,172,12,9,1,3,11,12,17,86,2,5,1,13,1,0,0,18,9,12,0,6,7,20,10,107,210,392,6,121,17,16,12,107,10,4,0,1,20,11,3,33,173,188,5,113,16,19,5,125,141,131,1,38,131,168,45,426,0
"66",285,23,89,79,18,0,69,90,89,10,11,13,88,2,186,185,21,1,10,4,1,0,0,5,82,8,4,16,90,3,110,187,81,9,10,14,6,0,7,6,9,1,0,0,9,0,6,1,79,6,10,15,2,0,2,11,146,12,8,10,114,9,91,114,19,2,6,5,2,0,10,10,6,2,0,0,5,1,13,12,3,0,0,0,0,0,0,0,4,0,2,0,8,0,7,9,63,0,6,8,7,0,14,7,11,0,1,1,15,1,15,5,93,6,4,4,2,0,8,13,131,9,4,5,155,11,89,121,91,86,9,153,3,4,10,108,16,11,1,2,15,10,10,116,8,15,0,17,0,0,0,7,9,12,0,9,7,10,4,87,14,13,1,8,1,1,0,4,0,0,0,0,1,1,0,1,13,12,0,16,1,0,2,7,10,12,1,3,3,3,2,19,102,86,9,156,9,5,22,165,14,6,0,2,17,11,6,89,3,8,1,8,1,1,0,5,3,14,0,6,7,10,4,87,201,170,2,122,14,6,9,104,8,4,0,6,15,7,1,20,174,202,3,106,14,11,10,102,84,89,1,26,86,95,23,343,1
"68",213,16,65,70,18,0,61,79,60,2,8,14,58,1,133,113,14,2,3,13,0,0,2,6,55,6,9,9,65,7,89,130,68,1,10,10,5,1,6,1,6,0,0,0,11,0,3,5,66,10,7,8,2,0,4,8,131,9,5,15,128,7,73,70,11,0,4,2,4,0,7,5,2,0,0,0,6,0,10,9,1,0,1,0,0,0,0,0,1,0,0,0,3,0,7,8,63,3,5,3,7,0,9,5,8,0,0,0,10,0,12,5,57,4,5,7,4,0,6,10,100,5,3,4,120,4,78,85,71,94,4,165,2,1,16,138,9,10,0,8,7,3,3,82,6,12,0,15,0,0,0,6,8,14,0,8,5,6,1,75,6,7,0,5,0,0,0,3,1,0,0,0,0,0,0,1,9,9,0,11,1,1,0,2,4,6,0,3,2,3,0,24,70,91,9,175,5,3,13,150,6,13,0,1,9,6,4,77,4,4,0,5,0,0,1,4,5,4,0,4,6,7,6,73,152,139,3,100,20,8,6,106,5,1,0,0,17,0,3,29,115,141,3,80,9,10,4,80,57,79,3,7,70,78,18,270,1
"70",296,19,100,77,19,1,86,136,116,7,11,9,99,0,193,180,18,2,4,13,1,0,2,6,98,17,12,14,82,8,131,185,93,6,13,8,2,1,10,8,9,0,1,0,10,0,7,5,79,9,2,16,4,0,4,7,211,9,6,10,118,11,97,114,13,0,5,1,5,0,8,7,10,1,0,2,10,0,23,11,2,0,0,0,0,0,1,0,4,0,0,1,7,0,8,7,86,2,10,6,8,0,16,13,10,0,1,1,15,1,8,2,116,8,15,7,2,0,10,19,182,11,4,11,187,11,109,134,114,100,12,207,7,5,12,202,21,10,0,9,16,13,8,149,8,13,1,16,0,0,0,8,14,11,0,14,7,9,2,98,14,6,0,4,0,0,0,5,0,0,0,0,0,0,0,0,14,21,0,9,1,0,0,6,4,15,0,4,5,6,1,23,121,98,8,155,7,8,17,185,13,5,0,4,10,7,6,85,1,10,0,13,0,0,0,8,12,7,0,3,7,8,3,90,205,135,8,108,14,7,17,97,13,4,0,0,16,8,4,24,228,209,2,113,12,11,8,147,140,95,0,21,99,107,28,388,0
"73",132,13,30,39,13,0,26,49,44,3,1,9,45,1,90,116,6,2,1,5,0,0,1,8,51,4,4,7,46,3,69,69,49,1,5,2,4,0,3,4,5,0,1,0,2,0,6,5,29,4,2,10,4,0,4,4,116,5,5,7,74,4,47,57,13,0,3,1,0,0,0,3,5,0,0,1,4,0,5,9,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,3,49,0,5,2,5,0,8,3,7,1,0,0,9,0,5,4,63,4,5,3,3,0,10,4,107,3,1,8,111,5,48,65,51,49,7,87,3,0,5,72,4,6,0,3,5,3,4,51,6,8,0,9,0,0,0,6,4,8,0,0,6,7,2,43,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,6,0,0,1,1,7,2,0,4,1,1,0,22,45,54,9,78,5,2,4,79,7,5,0,1,7,6,3,48,1,3,0,3,0,0,0,2,2,6,0,1,4,5,2,35,111,73,4,67,5,4,5,50,3,2,0,0,9,0,4,17,101,93,2,42,6,7,4,81,70,58,1,8,31,34,10,192,0
"74",124,5,37,41,11,1,39,42,55,6,5,5,37,1,79,74,11,1,6,4,0,0,0,2,34,5,5,4,44,1,70,83,38,1,4,4,2,0,6,5,7,0,0,0,3,0,4,1,43,4,5,2,1,1,4,5,97,8,4,9,65,4,30,39,7,0,2,2,0,0,2,1,1,0,0,0,7,1,9,3,1,0,0,0,0,0,0,0,3,0,0,0,3,0,9,7,48,1,4,0,3,0,5,1,6,0,0,0,5,1,3,2,52,4,5,6,3,0,5,10,69,10,3,3,80,5,44,47,45,34,8,74,2,2,3,67,6,5,1,3,5,5,1,31,3,0,0,9,0,0,0,1,4,7,0,6,2,4,0,33,6,2,0,3,0,0,0,2,1,0,0,0,0,0,0,1,4,8,0,5,0,0,0,3,1,4,0,1,4,2,1,11,37,51,2,50,3,1,5,55,2,4,0,2,9,1,7,42,2,2,0,3,0,0,0,8,3,4,0,1,2,3,2,46,90,93,1,51,9,6,9,47,4,0,0,0,3,6,3,17,93,88,1,40,6,10,4,41,57,51,1,16,38,50,19,164,0
"76",149,12,36,61,13,0,57,65,66,7,3,8,43,2,138,103,10,3,2,1,0,0,2,7,59,10,2,11,61,3,102,114,38,3,1,4,1,0,4,5,4,0,0,0,6,0,8,2,45,3,5,9,1,0,2,6,121,9,5,5,91,6,67,57,16,0,2,0,2,0,5,2,10,0,0,0,7,0,7,6,0,0,0,0,0,0,0,0,2,0,1,1,2,0,3,7,50,0,3,2,8,0,7,7,6,1,0,0,5,0,9,3,61,7,3,9,7,0,6,6,164,8,1,6,129,3,69,90,65,78,3,121,3,0,18,186,12,8,0,7,9,6,2,86,7,9,0,10,0,0,1,9,6,7,0,11,6,1,4,53,4,6,0,4,0,1,2,0,1,0,0,0,0,0,0,0,6,9,0,12,0,0,1,10,4,1,0,5,2,5,1,16,58,64,9,73,6,3,6,110,6,2,0,4,4,5,12,61,2,6,0,3,0,0,0,5,5,8,0,0,7,3,4,51,131,79,5,66,8,8,4,69,6,1,0,0,5,4,5,10,108,98,2,64,7,6,5,82,88,58,0,16,58,52,17,218,1
