"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,15,16,36,34,56,48,77,95,105,123,119,138,125,157,121,123,148,112,135,103,101,52,43,32,13,9,12,5,4,5,3,2,2,1,1,0,3,1,4,4,1,2,2,2,0,2,1,1,0,1,0,5,2,1,0,3,2,2,4,2,3,2,2,0,1,0,0,2,1,0,0,1,0,1,2,2,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,2,0,1,1,2,0,0,2,0,1,0,0,1,0,0,0,3,1,0,0,1,0,1,1,2,1,0,0,1,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,24,73,133,271,463,508,731,806,1155,1118,1164,1208,1187,1242,875,731,475,350,262,139,97,56,27,24,10,11,2,9,3,10,4,8,9,7,5,13,5,3,6,7,3,6,5,4,2,4,8,6,7,7,3,3,4,6,4,6,5,2,2,2,0,4,2,1,5,4,8,7,7,0,3,5,5,7,7,4,4,7,4,4,6,1,4,0,3,3,6,6,4,1,2,4,1,4,2,3,2,2,2,3,4,0,5,2,3,4,3,4,1,4,2,5,4,0,3,4,6,7,3,3,1,1,3,2,5,4,5,4,4,3,3,4,5,2,3,3,3,2,5,5,3,2,7,5,4,3,4,3,3,3,3,3,1,3,4,1,4,0,3,5,0,5,0,6,3,0,8,8,1,4,5,8,6,8,2,6,7,9,4,3,7,4,6,6,6,7,2,3,7,6,11,7,7,9,3,7,6,4,6,8,4,3,3,6,1,1,5,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,10,20,35,64,70,110,155,208,252,198,310,331,341,234,272,253,242,131,165,117,99,52,54,29,17,10,12,8,7,8,2,5,2,1,2,3,5,3,2,2,0,2,2,3,0,2,4,2,3,2,3,2,3,2,3,0,2,2,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,22,55,77,150,220,286,305,350,249,163,143,101,52,42,24,9,6,3,2,2,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,25,63,109,251,280,362,357,373,298,342,344,372,325,308,188,163,80,52,17,18,5,2,9,4,5,4,1,4,1,3,2,2,2,10,2,0,2,1,2,1,3,3,3,3,0,2,3,1,2,2,2,2,0,0,0,4,3,2,1,4,3,0,1,0,5,1,3,4,1,0,2,3,3,2,0,0,0,3,0,0,1,0,0,4,2,1,0,0,0,0,0,2,1,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,2,1,2,1,0,2,0,0,1,1,0,1,2,0,0,1,4,0,1,1,1,0,0,1,1,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,9,4,2,4,4,4,3,3,5,6,5,10,13,19,13,24,14,12,15,14,9,8,15,12,12,14,11,28,13,15,12,12,16,15,15,8,12,25,24,41,41,31,28,36,33,21,20,15,8,7,5,0,5,4,2,2,2,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,61,137,260,441,606,617,389,253,126,50,35,19,8,14,3,10,11,5,4,8,4,7,8,7,5,7,3,2,8,8,7,9,2,4,5,3,1,2,5,2,1,4,6,6,1,3,4,3,5,0,1,3,2,0,1,6,2,2,1,7,1,3,2,1,2,0,0,0,1,1,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,26,68,129,196,379,462,828,873,1122,1021,1084,815,762,474,332,243,122,84,39,24,18,16,10,12,12,12,13,11,5,9,10,2,10,5,5,6,4,5,8,8,2,7,5,5,10,1,4,5,2,3,6,4,2,5,2,3,6,5,6,5,2,1,3,8,2,2,4,5,2,1,2,4,2,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,9,14,22,33,38,76,69,101,95,100,141,184,157,159,155,136,114,147,101,86,73,60,60,35,19,16,14,10,10,6,5,5,3,0,2,1,1,1,0,1,0,0,0,1,1,0,0,1,1,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,120,300,498,680,852,759,583,303,201,89,48,11,4,5,3,7,4,5,4,5,1,1,3,1,2,1,4,1,2,3,4,1,2,0,2,6,2,1,3,2,4,3,1,3,1,0,4,1,0,3,2,4,0,1,1,2,1,4,1,0,1,0,1,0,1,1,2,1,2,1,1,1,0,5,2,1,0,0,2,1,1,1,1,2,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"52",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8,4,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,2,1,4,2,5,3,8,4,5,14,14,5,12,13,2,6,5,1,4,6,4,9,7,11,4,8,4,2,4,11,10,11,19,39,52,92,98,128,151,182,179,153,121,79,68,42,29,10,9,10,8,5,11,5,7,12,3,7,10,8,15,16,20,22,14,9,9,6,6,10,4,6,3,4,3,2,4,4,4,4,2,1,3,3,5,2,4,5,2,4,2,4,2,3,0,2,0,1,1,2,3,1,0,3,2,3,1,2,0,0,3,2,1,2,0,3,4,3,2,2,0,0,0,1,1,0,1,2,2,1,2,2,0,3,1,1,1,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,1,5,5,6,4,10,10,18,15,16,21,22,28,35,37,34,32,50,46,64,57,61,75,80,84,86,72,92,83,101,100,98,94,84,90,82,99,76,78,79,62,56,69,41,40,55,41,40,32,28,26,29,19,23,13,9,10,11,12,14,3,2,2,1,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,1,0,4,4,8,2,8,8,7,8,11,13,15,18,19,38,30,38,60,83,91,109,124,191,194,280,269,460,469,654,684,824,965,963,1294,1212,1606,1464,1889,1747,2308,2300,3348,3420,4969,5841,5400,6338,5151,5383,3974,3943,2863,2912,2257,2653,2181,2360,2080,1554,1358,816,669,372,299,219,166,141,128,105,117,80,107,103,77,82,79,82,75,77,58,59,56,58,64,53,64,40,57,48,58,41,48,37,54,50,51,42,43,55,38,50,39,39,38,41,40,39,40,36,43,41,44,36,40,30,34,32,36,28,22,26,28,22,26,34,31,33,24,26,17,37,34,38,25,18,36,16,28,28,35,25,30,30,35,29,25,26,20,33,20,26,29,27,44,33,25,24,28,31,40,34,34,24,41,28,28,25,34,39,33,24,38,27,25,34,28,41,30,36,36,30,21,19,32,17,29,21,23,13,25,19,14,15,18,10,11,11,9,15,12,12,10,16,13,14,6,9,10,9,8,5,7,13,5,4,1,1,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,18,52,114,225,330,567,763,743,1137,1251,1256,1513,1600,1265,1349,1240,857,825,576,494,322,164,109,31,20,20,13,8,14,8,7,11,7,11,7,6,8,7,6,9,4,7,6,8,5,7,3,9,3,4,3,8,4,5,7,3,3,2,7,6,5,7,6,6,6,1,2,8,4,6,6,6,4,5,2,2,8,2,4,4,4,9,2,5,8,2,6,8,5,4,5,3,3,4,8,3,3,5,9,5,5,7,5,4,8,5,3,4,4,6,7,6,5,4,4,4,9,6,5,2,2,6,6,4,6,5,7,6,2,2,4,3,4,9,4,2,9,8,3,3,5,5,6,8,6,3,1,3,1,5,6,4,5,6,8,6,2,7,4,4,5,7,2,7,6,1,5,5,6,12,5,6,6,5,3,4,5,3,3,9,9,10,6,6,4,8,6,5,9,5,5,6,2,3,7,4,6,6,1,5,9,7,10,7,12,6,6,6,10,6,7,10,13,9,15,16,18,25,35,42,32,26,17,10,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,44,111,194,388,545,700,783,924,800,721,643,534,339,284,205,154,93,74,60,42,31,15,9,8,18,11,8,5,7,9,10,5,1,3,8,3,5,1,6,6,6,5,5,0,10,4,3,1,6,9,5,3,1,2,3,5,6,6,3,8,3,4,4,4,7,1,4,6,2,4,4,5,4,1,3,3,2,2,6,2,6,4,3,2,6,4,5,1,0,4,1,3,3,1,3,3,7,2,5,3,0,3,2,2,6,3,6,4,3,5,2,6,2,4,3,4,3,2,3,4,5,2,5,1,6,2,4,2,3,6,1,3,4,4,2,5,6,3,6,3,3,1,4,5,4,4,7,9,6,6,6,6,5,7,9,9,13,13,10,6,11,13,11,10,15,15,12,15,17,12,20,12,20,17,10,11,16,17,17,17,16,16,18,13,18,15,13,20,12,32,25,19,19,27,23,34,29,34,44,43,52,68,72,76,69,68,53,28,18,3,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,66,106,238,591,770,1021,1315,1660,1451,1234,1122,954,620,500,360,336,286,216,174,185,133,107,108,106,87,72,61,51,60,60,56,27,32,18,20,3,9,10,8,10,8,5,12,6,9,9,6,6,6,8,5,5,10,4,11,6,8,6,6,8,6,3,10,8,9,7,6,5,7,6,6,12,9,8,10,12,14,11,11,14,8,15,22,12,10,16,17,19,10,13,17,14,10,11,22,7,10,9,7,12,7,7,8,5,9,6,12,6,10,6,8,14,6,7,8,7,8,11,10,4,10,8,8,10,10,7,9,9,9,11,6,8,8,5,5,9,4,11,6,4,9,8,4,6,7,10,7,4,8,9,4,11,3,11,11,4,7,10,10,9,5,8,8,12,9,10,6,10,10,6,12,8,13,12,16,11,13,14,11,7,16,18,11,10,9,8,7,11,18,13,20,19,14,18,10,8,14,10,12,14,12,16,20,16,15,25,17,22,27,38,42,20,14,13,5,1,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,10,19,35,49,102,198,344,532,774,994,1274,1499,1763,2209,2411,2606,2699,2850,2809,2796,2859,2877,2960,3070,3187,2970,2661,2215,1539,1416,827,533,330,181,104,76,29,28,28,27,15,23,26,20,17,22,26,27,23,25,18,23,27,24,20,13,23,22,20,25,25,29,20,22,20,16,13,14,17,17,20,10,13,12,17,10,21,19,11,8,19,12,15,9,10,12,11,4,11,17,12,13,9,8,9,9,5,10,8,7,6,6,4,4,2,5,2,3,6,3,6,6,4,5,5,1,7,2,2,2,2,2,5,1,2,3,1,1,1,0,1,1,2,2,1,1,0,0,0,0,3,2,3,2,0,1,1,0,0,1,1,0,2,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,10,25,38,37,38,85,112,106,119,132,124,125,116,125,100,102,104,112,121,156,144,158,167,190,211,238,297,333,381,429,512,592,946,1154,1447,1554,1758,1798,1799,1589,1454,1268,924,760,514,334,208,136,59,44,23,21,19,13,15,9,12,10,7,16,6,8,9,6,12,3,8,8,10,7,8,8,11,9,5,7,8,5,5,6,6,10,11,9,6,9,5,10,12,7,6,4,11,5,8,7,8,4,12,4,4,1,7,6,3,8,7,6,3,9,7,6,9,6,4,5,2,6,2,5,3,5,8,2,10,7,11,9,5,5,10,5,7,5,3,8,7,4,8,3,8,4,8,8,1,5,5,4,6,6,6,9,5,6,8,8,5,3,8,5,1,4,4,11,5,6,3,4,8,7,4,11,7,9,9,7,5,3,6,8,8,5,8,6,7,10,9,4,7,11,9,13,1,11,5,6,5,7,5,9,12,8,7,14,8,6,7,12,11,13,12,12,9,10,13,16,12,17,12,22,23,26,30,32,38,47,50,45,56,33,23,2,1,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,23,65,95,144,249,291,389,413,517,550,714,643,734,697,749,546,599,384,335,191,150,94,58,33,20,15,19,10,12,14,12,9,10,8,11,10,15,12,12,8,8,6,6,3,9,9,12,5,5,5,5,10,11,4,13,4,4,7,9,9,0,7,6,5,2,6,5,4,5,5,6,4,9,10,4,5,3,3,5,3,7,4,6,7,4,4,5,5,5,3,4,7,1,13,6,4,1,6,7,3,5,8,4,3,6,7,8,5,3,2,5,6,3,1,5,6,4,3,6,7,1,6,1,5,1,4,3,7,1,4,3,4,5,4,1,1,2,3,6,0,7,4,3,5,7,6,3,3,3,1,5,6,3,3,4,4,4,9,7,4,3,3,6,1,3,2,2,8,4,3,6,4,1,0,6,2,2,1,4,4,1,4,2,2,3,2,1,4,5,5,0,0,3,2,2,5,1,4,3,1,1,2,3,2,3,0,3,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,19,66,117,215,346,564,783,849,802,956,863,703,544,309,180,106,33,21,9,12,4,8,3,6,3,6,5,8,5,10,2,4,5,3,3,3,5,2,3,4,1,8,3,3,1,2,4,1,5,2,5,4,3,4,1,1,4,3,2,1,4,1,4,1,2,4,3,3,3,4,0,3,1,2,2,1,0,2,1,2,2,1,2,1,1,2,3,3,4,2,0,4,1,2,2,1,1,1,1,3,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,5,9,9,19,43,36,65,97,128,152,204,292,268,294,333,338,349,388,382,362,329,273,284,239,210,181,138,117,89,91,88,61,48,37,31,25,22,19,10,10,7,8,4,6,9,4,3,2,7,0,4,2,3,1,3,2,2,4,0,3,1,3,1,2,4,1,4,2,0,0,1,3,1,3,2,0,1,1,2,1,2,1,2,1,0,2,1,1,1,1,2,1,4,0,1,1,2,0,1,2,0,1,2,3,0,1,2,0,1,0,1,0,1,1,0,0,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,6,4,3,4,4,4,4,0,2,0,1,0,0,1,0,3,9,37,46,97,183,205,391,526,681,609,803,856,641,780,668,528,331,307,229,109,99,42,22,10,8,5,4,4,3,1,2,9,2,3,6,2,2,4,1,7,5,11,9,6,12,9,19,29,15,21,14,20,27,27,8,6,18,18,24,26,21,16,22,19,9,14,10,4,5,4,3,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,10,17,20,38,69,140,160,229,221,298,384,355,341,409,348,300,221,220,144,88,53,47,18,17,7,3,1,3,3,0,1,2,1,1,1,1,3,1,2,1,1,4,1,1,1,0,1,0,1,0,0,0,3,2,0,1,1,1,0,2,1,0,2,2,1,0,0,0,0,1,1,1,0,1,2,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,19,31,62,86,165,206,271,362,348,379,380,320,267,207,189,129,82,85,38,31,14,9,5,1,2,1,1,2,0,0,0,4,2,4,2,2,1,2,1,2,2,3,1,2,2,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,52,165,301,492,792,874,772,708,389,254,143,67,30,24,10,7,8,6,9,2,10,8,4,3,5,6,7,4,1,2,3,3,3,4,8,2,2,4,1,3,3,4,2,0,4,0,1,1,3,2,0,3,3,0,1,2,1,1,1,4,0,5,2,0,1,2,0,1,0,0,1,2,1,2,1,2,1,1,2,3,2,4,1,3,2,3,2,3,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
